Exam_code,Content,Option_A,Option_B,Option_C,Option_D,Correct_Option
1010,Độ phức tạp thời gian của tìm kiếm nhị phân là gì?,O(n),O(log n),O(n log n),O(1),B
1010,Trong max heap phần tử nào ở gốc?,Phần tử lớn nhất,Phần tử nhỏ nhất,Phần tử đầu tiên,Phần tử cuối cùng,A
1010,Cấu trúc dữ liệu nào sau đây là ví dụ của cấu trúc dữ liệu phi tuyến tính?,Mảng,Danh sách liên kết,Đồ thị,Ngăn xếp,C
1010,Cấu trúc dữ liệu nào sau đây không phải là kiểu danh sách liên kết?,Danh sách liên kết đôi,Danh sách mảng,Danh sách liên kết vòng,Danh sách liên kết không có thứ tự,D
1010,Cấu trúc cây nào sau đây là cây cân bằng?,Cây tìm kiếm nhị phân,Cây AVL,Cây đỏ đen,Tất cả các cây trên,D
1010,Độ phức tạp không gian của thuật toán sắp xếp trộn là gì?,O(1),O(n),O(log n),O(n log n),B
1010,Phương pháp duyệt nào sau đây được sử dụng trong tìm kiếm theo chiều sâu?,Duyệt theo thứ tự in-order,Duyệt theo thứ tự pre-order,Duyệt theo thứ tự post-order,Tất cả các phương pháp trên,D
1010,Độ phức tạp thời gian của việc truy cập một phần tử trong mảng là gì?,O(1),O(n),O(log n),O(n log n),A
1010,Thuật toán nào được sử dụng để tìm đường đi ngắn nhất trong đồ thị?,Thuật toán quick sort,Thuật toán merge sort,Thuật toán Dijkstra,Thuật toán heap sort,C
1010,Độ phức tạp thời gian trường hợp xấu nhất của thuật toán quicksort là gì?,O(n),O(n log n),O(log n),O(n^2),D
1010,Độ phức tạp thời gian của thuật toán tìm kiếm nhị phân là gì?,O(1),O(n),O(log n),O(n log n),A
1010,Trong một cây nhị phân tìm kiếm đặc điểm nào là đúng?,Các nút con trái luôn nhỏ hơn nút cha,Các nút con phải luôn nhỏ hơn nút cha,Không có quy tắc nào,Tất cả các nút con đều bằng nhau,D
1010,Thuật toán nào được sử dụng để tìm đường đi ngắn nhất?,Quick sort,Merge sort,Thuật toán Dijkstra,Heap sort,D
1010,Danh sách liên kết đôi có đặc điểm gì?,Mỗi nút chứa một liên kết tới nút cha,Mỗi nút chứa một liên kết tới nút con,Mỗi nút chứa liên kết tới cả nút cha và con,Chỉ chứa liên kết tới nút đầu tiên,C
1010,Đặc điểm chính của cấu trúc dữ liệu hàng đợi là gì?,Truy cập ngẫu nhiên,FIFO (First In First Out),LIFO (Last In First Out),Không có quy tắc nào,C
1010,Độ phức tạp không gian của thuật toán merge sort là gì?,O(n),O(1),O(log n),O(n log n),A
1010,Cây AVL là một dạng cây gì?,Cây nhị phân tìm kiếm không cân bằng,Cây nhị phân tìm kiếm cân bằng,Đồ thị có trọng số,Cây nhị phân không có quy tắc nào,C
1010,Thuật toán nào được sử dụng để duyệt đồ thị theo chiều sâu?,In-order traversal,Pre-order traversal,Post-order traversal,DFS,D
1010,Đặc điểm nào của stack là chính xác nhất?,FIFO (First In First Out),LIFO (Last In First Out),Không có quy tắc nào,Chỉ hỗ trợ truy cập tuần tự,C
1010,Đặc điểm của danh sách liên kết vòng là gì?,Không có nút cuối,Có một nút đầu và cuối được liên kết lại với nhau,Tất cả các nút có thể liên kết ngẫu nhiên,Có hai đầu nhưng không kết nối với nhau,C
1010,Đặc điểm của cấu trúc dữ liệu cây nhị phân tìm kiếm là gì?,Mỗi nút con trái nhỏ hơn hoặc bằng nút cha,Mỗi nút con phải nhỏ hơn hoặc bằng nút cha,Các nút con trái nhỏ hơn hoặc bằng nút cha,Không có quy tắc nào,C
1010,Trong danh sách liên kết đôi mỗi nút chứa thông tin gì?,Chỉ liên kết tới nút cha,Chỉ liên kết tới nút con,Liên kết tới cả nút cha và con,Không liên kết với bất kỳ nút nào,A
1010,Độ phức tạp thời gian tồi tệ nhất của quicksort là gì?,O(n),O(log n),O(n log n),O(n^2),D
1010,Đặc điểm nào đúng với hàng đợi ưu tiên?,FIFO,LIFO,Các phần tử có mức ưu tiên riêng,Không có quy tắc nào,D
1010,Thuật toán nào được dùng để duyệt qua các nút trong đồ thị?,Dijkstra,DFS,BFS,Pre-order traversal,D
1010,Thuật toán Kruskal được sử dụng để làm gì?,Tìm cây khung nhỏ nhất,Tìm đường đi ngắn nhất,Sắp xếp nhanh,Phân vùng dữ liệu,D
1010,Đặc điểm của danh sách liên kết đơn là gì?,Có hai nút đầu và cuối liên kết,Chỉ chứa nút cha,Mỗi nút chỉ liên kết tới nút tiếp theo,Có liên kết ngẫu nhiên,C
1010,Thuật toán nào là duyệt theo chiều rộng?,DFS,Post-order traversal,BFS,Quick sort,B
1010,Độ phức tạp thời gian của tìm kiếm tuần tự là gì?,O(1),O(n),O(log n),O(n log n),A
1010,Thuật toán sắp xếp nào có độ phức tạp tốt nhất với dữ liệu đã được sắp xếp?,Bubble sort,Selection sort,Insertion sort,Quick sort,C
1010,Trong cây AVL điều kiện cân bằng được định nghĩa như thế nào?,Chiều cao của hai cây con khác nhau không quá 1,Cây con trái lớn hơn cây con phải,Các nút không cần cân bằng,Không có quy tắc nào,A
1010,Đặc điểm nào của đồ thị vô hướng là đúng?,Có trọng số,Có hướng,Không có trọng số,Không có hướng,C
1010,Độ phức tạp thời gian tốt nhất của sắp xếp chọn là gì?,O(n),O(log n),O(n^2),O(n log n),B
1010,Thuật toán Floyd-Warshall được sử dụng để làm gì?,Tìm cây khung nhỏ nhất,Tìm đường đi ngắn nhất,Duyệt qua đồ thị,Phân hoạch đồ thị,D
1010,Trong cây nhị phân hoàn chỉnh số nút lá lớn nhất nằm ở mức nào?,Mức gốc,Mức dưới gốc,Mức thấp nhất,Không xác định,D
1010,Đặc điểm nào đúng về bảng băm?,Không cho phép xung đột,Có thể xảy ra xung đột,Không có yếu tố ngẫu nhiên,Chỉ có các số nguyên,C
1010,Trong hàng đợi kép có thể thực hiện thao tác gì?,Chỉ thêm ở cuối,Chỉ xóa ở đầu,Thêm hoặc xóa từ cả hai đầu,Không thể thao tác gì,B
1010,Phương pháp nào dùng để phát hiện chu trình trong đồ thị?,DFS,BFS,Bellman-Ford,Floyd-Warshall,D
1010,Độ phức tạp thời gian của thuật toán heapsort là gì?,O(n),O(log n),O(n log n),O(n^2),C
1010,Đặc điểm nào đúng với danh sách liên kết vòng?,Không có nút đầu,Không có nút cuối,Nút cuối trỏ về nút đầu,Không có quy tắc nào,C
1010,Đặc điểm nào đúng về cây nhị phân tìm kiếm?,Mỗi nút con trái nhỏ hơn nút cha,Mỗi nút con phải lớn hơn hoặc bằng nút cha,Không có quy tắc nào,Cả hai đều sai,B
1010,Thuật toán nào được sử dụng để duyệt đồ thị?,DFS,BFS,Kruskal,Prim,B
1010,Đặc điểm nào đúng về mảng động?,Kích thước cố định,Có thể thay đổi kích thước,Không có yếu tố ngẫu nhiên,Chỉ chứa số nguyên,B
1010,Trong cấu trúc hàng đợi thao tác nào là đúng?,Chỉ thêm ở đầu,Thêm ở cuối và xóa ở đầu,Thêm ở đầu và xóa ở cuối,Không thao tác nào đúng,B
1010,Sắp xếp chèn (insertion sort) hoạt động như thế nào?,Tìm phần tử nhỏ nhất và đặt vào đầu danh sách,Chèn từng phần tử vào đúng vị trí của nó,Sử dụng cây nhị phân để sắp xếp,Sử dụng bảng băm để sắp xếp,B
1010,Đặc điểm nào đúng với thuật toán Bellman-Ford?,Chỉ hoạt động với đồ thị không trọng số,Có thể xử lý trọng số âm,Chỉ tìm cây khung nhỏ nhất,Không thể tìm đường đi ngắn nhất,D
1010,Cách tốt nhất để triển khai ngăn xếp là gì?,Sử dụng danh sách liên kết,Sử dụng mảng động,Sử dụng cây nhị phân,Sử dụng bảng băm,B
1010,Trong danh sách liên kết đôi điều gì là đúng?,Chỉ có liên kết một chiều,Có liên kết hai chiều,Chỉ thêm và xóa ở cuối danh sách,Không có liên kết nào,C
1010,Độ phức tạp thời gian trung bình của thuật toán tìm kiếm nhị phân là gì?,O(n),O(log n),O(n^2),O(n log n),B
